sku_number,brand_name,product_line_name,pattern,hint,rule_source
CO-AS-0000000101,ASUS,Ultrabooks,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
CO-AS-0000000102,ASUS,Ultrabooks,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
GA-AS-0000001156,ASUS ROG,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
CO-AC-0000000019,Acer Predator,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
GA-AC-0000001173,Acer Predator,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
CO-AL-0000000001,Alienware,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
GA-AL-0000001155,Alienware,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
CO-LE-0000000024,Lenovo Legion,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
GA-MS-0000001160,MSI,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
GA-MS-0000001164,MSI,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
CO-RA-0000000012,Razer,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
CO-RA-0000000013,Razer,Gaming Laptops,^LAP-\d{5}$,"asset tag: LAP- followed by 5 digits, e.g. LAP-00123",line
